,age_years,gender,height,weight,ap_hi,ap_lo,cholesterol,gluc,smoke,alco,active,bmi,cardio
age_years,1.0,-0.023204669919693964,-0.08551275551451276,0.05521526979971466,0.20960022140999127,0.15656225481088856,0.15542470410196543,0.0988641603424743,-0.04766992163593451,-0.028772150404164868,-0.01025973793164149,0.10214922569902628,0.239375049904988
gender,-0.023204669919693964,1.0,0.5163984909234255,0.15681011219253463,0.0623754606084365,0.067617994068143,-0.03679062494804454,-0.021176658893906575,0.33887411071825596,0.1712715641259285,0.005866412059710071,-0.1096607093121908,0.007221154785904623
height,-0.08551275551451276,0.5163984909234255,1.0,0.3067773852076807,0.01848782879865952,0.036455068306991745,-0.05457529969354078,-0.0210512386973974,0.1947105972812952,0.09749767755633666,-0.008236911728346095,-0.20832002158411056,-0.01180268032888891
weight,0.05521526979971466,0.15681011219253463,0.3067773852076807,1.0,0.2705591112633233,0.2534144934351546,0.14125902372391438,0.10710257492165443,0.06685450336431553,0.06757498317527275,-0.01784723315589342,0.8607670538231016,0.1800861865039882
ap_hi,0.20960022140999127,0.0623754606084365,0.01848782879865952,0.2705591112633233,1.0,0.7346783782421128,0.19528486599958023,0.09436710343670733,0.027678875043164693,0.035437457407328475,-0.0009553315951391073,0.2667840095315652,0.4280628309398346
ap_lo,0.15656225481088856,0.067617994068143,0.036455068306991745,0.2534144934351546,0.7346783782421128,1.0,0.16140516873352215,0.0748448009033537,0.025031960417319893,0.037051694353766755,-0.0005513948032824425,0.24010820878917605,0.34017146846429946
cholesterol,0.15542470410196543,-0.03679062494804454,-0.05457529969354078,0.14125902372391438,0.19528486599958023,0.16140516873352215,1.0,0.450691863202971,0.00988261192729463,0.03511746921121378,0.008617872968447265,0.17103879201268832,0.22142275036010947
gluc,0.0988641603424743,-0.021176658893906575,-0.0210512386973974,0.10710257492165443,0.09436710343670733,0.0748448009033537,0.450691863202971,1.0,-0.005867657778026408,0.010342712440243465,-0.007888247082663299,0.11938577137258671,0.08965750727789683
smoke,-0.04766992163593451,0.33887411071825596,0.1947105972812952,0.06685450336431553,0.027678875043164693,0.025031960417319893,0.00988261192729463,-0.005867657778026408,1.0,0.3404277289564943,0.0252642860872084,-0.033622921378629274,-0.016369652541520983
alco,-0.028772150404164868,0.1712715641259285,0.09749767755633666,0.06757498317527275,0.035437457407328475,0.037051694353766755,0.03511746921121378,0.010342712440243465,0.3404277289564943,1.0,0.02448024786870397,0.017376139040505327,-0.008577445041094155
active,-0.01025973793164149,0.005866412059710071,-0.008236911728346095,-0.01784723315589342,-0.0009553315951391073,-0.0005513948032824425,0.008617872968447265,-0.007888247082663299,0.0252642860872084,0.02448024786870397,1.0,-0.014956934139231501,-0.03764798475725335
bmi,0.10214922569902628,-0.1096607093121908,-0.20832002158411056,0.8607670538231016,0.2667840095315652,0.24010820878917605,0.17103879201268832,0.11938577137258671,-0.033622921378629274,0.017376139040505327,-0.014956934139231501,1.0,0.18953650547474193
cardio,0.239375049904988,0.007221154785904623,-0.01180268032888891,0.1800861865039882,0.4280628309398346,0.34017146846429946,0.22142275036010947,0.08965750727789683,-0.016369652541520983,-0.008577445041094155,-0.03764798475725335,0.18953650547474193,1.0
