,count,mean,std,min,25%,50%,75%,max
age_years,68618.0,53.29167728751916,6.757185348388215,29.56331279945243,48.34496919917864,53.94113620807666,58.38466803559206,64.92265571526352
gender,68618.0,1.3486402984639598,0.4765433351586588,1.0,1.0,1.0,2.0,2.0
height,68618.0,164.41333177883354,7.912722432811099,120.0,159.0,165.0,170.0,207.0
weight,68618.0,74.11603223643942,14.29707166358769,30.0,65.0,72.0,82.0,200.0
ap_hi,68618.0,126.67464805153166,16.692571192475928,60.0,120.0,120.0,140.0,240.0
ap_lo,68618.0,81.30830102888454,9.453254413172195,40.0,80.0,80.0,90.0,182.0
cholesterol,68618.0,1.3647439447375325,0.678934944048062,1.0,1.0,1.0,2.0,3.0
gluc,68618.0,1.2258445305896413,0.5717031349740374,1.0,1.0,1.0,1.0,3.0
smoke,68618.0,0.0879652569296686,0.2832464292950893,0.0,0.0,0.0,0.0,1.0
alco,68618.0,0.053353347518143926,0.22473874586862957,0.0,0.0,0.0,0.0,1.0
active,68618.0,0.8033169139292897,0.397493587802396,0.0,1.0,1.0,1.0,1.0
bmi,68618.0,27.457889445214605,5.257326168781928,10.726643598615919,23.875114784205696,26.346494034400994,30.118584968422635,108.16984681537221
cardio,68618.0,0.49470984289836484,0.4999756566493691,0.0,0.0,0.0,1.0,1.0
